,created_at,source,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,hashtags,user_mentions,place
0,2021-06-18 17:55:49+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,en,,,ketuesriche,551,351,[],"[{'screen_name': 'TelGlobalHealth', 'name': 'Telegraph Global Health Security', 'id': 1149218984346230784, 'id_str': '1149218984346230784', 'indices': [3, 19]}, {'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [102, 110]}]",Mass
1,2021-06-18 17:55:59+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.13333333333333333,0.45555555555555555,en,,,Grid1949,66,92,[],"[{'screen_name': 'globalhlthtwit', 'name': 'Anthony Costello', 'id': 83440337, 'id_str': '83440337', 'indices': [3, 18]}]","Edinburgh, Scotland"
2,2021-06-18 17:56:07+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.3166666666666667,0.48333333333333334,en,,,LeeTomlinson8,1195,1176,"[{'text': 'red4research', 'indices': [103, 116]}]","[{'screen_name': 'NHSRDForum', 'name': 'NHS R&D Forum', 'id': 1381499726, 'id_str': '1381499726', 'indices': [3, 14]}, {'screen_name': 'Research2note', 'name': 'Research2note', 'id': 734054113940508672, 'id_str': '734054113940508672', 'indices': [26, 40]}, {'screen_name': 'NHSRDForum', 'name': 'NHS R&D Forum', 'id': 1381499726, 'id_str': '1381499726', 'indices': [124, 135]}]",
3,2021-06-18 17:56:10+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.16666666666666666,0.16666666666666666,en,,,RIPNY08,2666,2704,[],"[{'screen_name': 'HighWireTalk', 'name': 'The HighWire', 'id': 851985789072408576, 'id_str': '851985789072408576', 'indices': [3, 16]}]",
4,2021-06-18 17:56:20+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.3,0.7666666666666666,en,,,pash22,28250,30819,[],"[{'screen_name': 'PeterHotez', 'name': 'Prof Peter Hotez MD PhD', 'id': 593289567, 'id_str': '593289567', 'indices': [3, 14]}]",United Kingdom
5,2021-06-18 17:56:25+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.6444444444444445,0.9111111111111111,en,,,SandhraLee,759,4163,"[{'text': 'WeCanDoThis', 'indices': [44, 56]}, {'text': 'COVID19', 'indices': [121, 129]}]","[{'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [3, 15]}]",USA
6,2021-06-18 17:56:44+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",5.551115123125783e-17,0.9,en,,,neilwalton48,221,599,[],"[{'screen_name': 'RealJoelSmalley', 'name': 'Joel Smalley 🌸', 'id': 1086212368575680512, 'id_str': '1086212368575680512', 'indices': [3, 19]}]",
7,2021-06-18 17:56:46+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",5.551115123125783e-17,0.9,en,,,Candide62,154,1102,[],"[{'screen_name': 'RealJoelSmalley', 'name': 'Joel Smalley 🌸', 'id': 1086212368575680512, 'id_str': '1086212368575680512', 'indices': [3, 19]}]","Nord-Pas-de-Calais, France"
8,2021-06-18 17:56:46+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.13333333333333333,0.45555555555555555,en,,,AnneCar51323293,115,2030,[],"[{'screen_name': 'globalhlthtwit', 'name': 'Anthony Costello', 'id': 83440337, 'id_str': '83440337', 'indices': [3, 18]}]",
9,2021-06-18 17:56:47+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.2787878787878788,0.38484848484848483,en,,,DarkaDuna2014,94,144,"[{'text': 'Covid19', 'indices': [120, 128]}]","[{'screen_name': 'LongCovidNYC', 'name': 'LongCovidNYC', 'id': 1380775691621388288, 'id_str': '1380775691621388288', 'indices': [3, 16]}]","Bilbao, País Vasco"
10,2021-06-18 17:56:52+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.6444444444444445,0.9111111111111111,en,,,Jmilio54,15,43,"[{'text': 'WeCanDoThis', 'indices': [44, 56]}, {'text': 'COVID19', 'indices': [121, 129]}]","[{'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [3, 15]}]",
11,2021-06-18 17:56:54+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.1625,0.2375,en,,,LilyWad75051099,474,361,"[{'text': 'Cuban', 'indices': [69, 75]}, {'text': 'COVID19', 'indices': [76, 84]}, {'text': 'vaccines', 'indices': [85, 94]}]","[{'screen_name': 'MediccGail', 'name': 'GailReedMEDICC', 'id': 785263274992529408, 'id_str': '785263274992529408', 'indices': [3, 14]}]",
12,2021-06-18 17:56:58+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.1625,0.30833333333333335,en,,,SammyEyong,14,80,[],[],
13,2021-06-18 17:57:06+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.2787878787878788,0.38484848484848483,en,,,trekkerteach12,7778,5990,"[{'text': 'Covid19', 'indices': [120, 128]}]","[{'screen_name': 'LongCovidNYC', 'name': 'LongCovidNYC', 'id': 1380775691621388288, 'id_str': '1380775691621388288', 'indices': [3, 16]}]",
14,2021-06-18 17:57:12+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,en,,,emet_news_press,9765,7035,[],"[{'screen_name': 'YakiLopez', 'name': 'Yaki Lopez 🇮🇱', 'id': 21575905, 'id_str': '21575905', 'indices': [3, 13]}]",Global
15,2021-06-18 17:57:16+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.5,0.5,en,,,edjimimi,371,605,[],[],"Austin, TX"
16,2021-06-18 17:57:18+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.2787878787878788,0.38484848484848483,en,,,SheriD17536431,470,1240,"[{'text': 'Covid19', 'indices': [120, 128]}]","[{'screen_name': 'LongCovidNYC', 'name': 'LongCovidNYC', 'id': 1380775691621388288, 'id_str': '1380775691621388288', 'indices': [3, 16]}]",Nashville
17,2021-06-18 17:57:19+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.175,0.275,en,,,DuncanSteele8,48,74,[],"[{'screen_name': 'MoetiTshidi', 'name': 'Dr Matshidiso Moeti', 'id': 2412739760, 'id_str': '2412739760', 'indices': [3, 15]}]",
